probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,
3.418619	446.258214	26.402000
3.427590	445.617255	26.502000
3.432308	445.214305	26.602000
3.422546	445.966459	26.702000
3.422399	445.974980	26.802000
3.432106	445.242736	26.902000
3.427179	445.613762	27.002000
3.419199	446.189373	27.102000
3.427692	445.519135	27.202000
3.433438	445.140533	27.302000
3.422776	445.913808	27.402000
3.420566	446.056963	27.502000
3.432000	445.198575	27.602000
3.429759	445.363621	27.702000
3.419296	446.164200	27.804000
3.425101	445.739624	27.902000
3.433141	445.123737	28.002000
3.424842	445.707665	28.102000
3.420687	446.027510	28.202000
3.430206	445.352392	28.302000
3.429733	445.355162	28.403000
3.419669	446.074400	28.502000
3.424845	445.706895	28.602000
3.433852	445.030099	28.702000
3.424637	445.723215	28.802000
3.418631	446.167994	28.902000
3.429286	445.375038	29.002000
3.431540	445.192050	29.102000
3.420827	446.025571	29.202000
3.422556	445.903857	29.302000
3.432469	445.142507	29.402000
3.426963	445.514965	29.502000
3.419423	446.080815	29.602000
3.427623	445.503332	29.702000
3.431017	445.234255	29.802000
3.420838	445.978023	29.902000
3.422177	445.889043	30.002000
3.432654	445.091907	30.102000
3.427133	445.517053	30.202000
3.417837	446.194417	30.302000
3.425756	445.581427	30.402000
3.432345	445.060080	30.502000
3.422733	445.781923	30.602000
3.420079	446.026713	30.702000
3.430086	445.287747	30.802000
3.428591	445.354228	30.902000
3.418934	446.054732	31.002000
3.425038	445.641588	31.102000
3.431744	445.140944	31.202000
3.422545	445.831608	31.302000
3.419644	446.025382	31.402000
3.430408	445.200975	31.502000
3.428859	445.356562	31.602000
3.418174	446.136252	31.702000
3.422993	445.794660	31.802000
3.432377	445.081508	31.902000
3.424879	445.607252	32.002000
3.418366	446.167531	32.102000
3.427883	445.407339	32.202000
3.429442	445.252857	32.302000
3.419626	445.968399	32.402000
3.422728	445.793729	32.502000
3.431420	445.165430	32.602000
3.424741	445.642834	32.702000
3.418269	446.127788	32.802000
3.427758	445.393930	32.902000
3.430749	445.148993	33.002000
3.419363	446.007823	33.102000
3.420854	445.904677	33.202000
3.431645	445.080464	33.302000
3.426961	445.426262	33.402000
3.418011	446.126808	33.502000
3.425484	445.576836	33.602000
3.430454	445.120076	33.705000
3.421016	445.802480	33.802000
3.421148	445.857155	33.902000
3.430933	445.133992	34.002000
3.426531	445.467662	34.102000
3.417711	446.124328	34.202000
3.426001	445.470617	34.302000
3.431827	445.025677	34.402000
3.421333	445.824166	34.502000
3.419410	445.983169	34.602000
3.430406	445.150220	34.702000
3.428490	445.291883	34.802000
3.418553	446.013320	34.902000
3.424026	445.638769	35.002000
3.431198	445.052121	35.102000
3.423003	445.628460	35.202000
3.420068	445.904788	35.303000
3.429958	445.160245	35.402000
3.427908	445.338436	35.502000
3.417808	446.042757	35.602000
3.423675	445.595350	35.702000
3.432666	444.906962	35.802000
3.423714	445.581952	35.902000
3.417874	446.036315	36.002000
3.428136	445.258767	36.102000
3.429657	445.116183	36.202000
3.419107	445.892407	36.302000
3.421846	445.716105	36.402000
3.430704	445.039777	36.502000
3.423995	445.503467	36.602000
3.418173	445.908158	36.702000
3.427415	445.267893	36.802000
3.428760	445.164757	36.902000
3.417990	445.985870	37.007000
3.421337	445.686312	37.102000
3.431624	444.882315	37.202000
3.425198	445.384229	37.302000
3.416532	446.060302	37.403000
3.425351	445.412080	37.503000
3.429770	445.063349	37.602000
3.419976	445.758147	37.702000
3.419650	445.779678	37.802000
3.429600	445.091472	37.902000
3.424805	445.386309	38.002000
3.416757	445.995058	38.102000
3.425007	445.384350	38.202000
3.429518	445.052417	38.302000
3.418911	445.854731	38.402000
3.418670	445.836073	38.502000
3.430075	444.977503	38.602000
3.425937	445.287152	38.702000
3.416005	446.059434	38.802000
3.422734	445.599599	38.902000
3.429743	445.006311	39.002000
3.420741	445.613248	39.102000
3.418396	445.836754	39.202000
3.428049	445.137275	39.302000
3.425246	445.356130	39.402000
3.416422	445.980223	39.502000
3.423208	445.489148	39.602000
3.429970	444.991165	39.703000
3.420111	445.715417	39.802000
3.416602	445.982825	39.902000
3.427966	445.098239	40.002000
3.427379	445.107703	40.102000
3.415963	446.004996	40.202000
3.420468	445.695743	40.302000
3.429343	444.975991	40.402000
3.422154	445.476340	40.502000
3.417149	445.856787	40.602000
3.426227	445.195647	40.702000
3.426592	445.171754	40.802000
3.416465	445.929636	40.902000
3.420651	445.602070	41.002000
3.430213	444.880690	41.102000
3.422388	445.457539	41.202000
3.415386	446.004745	41.302000
3.425448	445.216393	41.402000
3.428477	444.972809	41.502000
3.417421	445.834173	41.603000
3.418484	445.738596	41.702000
3.428734	444.978406	41.802000
3.424035	445.272374	41.902000
3.416468	445.833946	42.002000
3.424172	445.270883	42.102000
3.427768	445.026762	42.202000
3.417964	445.744770	42.302000
3.418796	445.689570	42.402000
3.429694	444.854091	42.502000
3.424430	445.227783	42.602000
3.414641	445.975372	42.702000
3.422372	445.375185	42.802000
3.429300	444.841557	42.902000
3.419449	445.602898	43.002000
3.416996	445.796860	43.102000
3.427276	445.025741	43.202000
3.425622	445.097844	43.302000
3.415754	445.798540	43.402000
3.421563	445.420978	43.502000
3.428481	444.904822	43.602000
3.419368	445.600344	43.703000
3.416515	445.793358	43.802000
3.427365	444.968121	43.902000
3.426362	445.024755	44.002000
3.414918	445.898747	44.102000
3.419516	445.564775	44.202000
3.429402	444.814089	44.302000
3.422026	445.348236	44.402000
3.415238	445.908232	44.502000
3.424533	445.202062	44.602000
3.426566	445.013378	44.702000
3.416629	445.708902	44.802000
3.418744	445.584990	44.902000
3.428133	444.908889	45.002000
3.421807	445.394114	45.104000
3.414574	445.907899	45.202000
3.423967	445.197485	45.302000
3.427487	444.890206	45.402000
3.416392	445.711128	45.502000
3.416186	445.762072	45.602000
3.427698	444.924138	45.702000
3.424210	445.107490	45.802000
3.414513	445.831395	45.903000
3.420836	445.414748	46.002000
3.426964	444.948631	46.102000
3.418004	445.561807	46.207000
3.416635	445.714404	46.302000
3.426607	444.971857	46.402000
3.423657	445.250435	46.502000
3.414104	445.892732	46.602000
3.420451	445.402490	46.702000
3.428030	444.825914	46.802000
3.418864	445.464894	46.902000
3.414232	445.867142	47.002000
3.425239	445.078458	47.102000
3.426001	444.985028	47.202000
3.415045	445.750725	47.302000
3.417809	445.555251	47.403000
3.426480	444.888363	47.503000
3.420045	445.359893	47.602000
3.414807	445.716611	47.702000
3.423766	445.110353	47.802000
3.425123	445.016183	47.902000
3.414464	445.784132	48.002000
3.416942	445.588063	48.102000
3.427529	444.785244	48.207000
3.421317	445.250243	48.302000
3.413290	445.871866	48.402000
3.421790	445.279994	48.502000
3.427075	444.848358	48.602000
3.416963	445.596657	48.702000
3.415419	445.717637	48.802000
3.426053	444.918587	48.902000
3.423941	445.041473	49.002000
3.415183	445.718942	49.102000
3.421313	445.291640	49.202000
3.427038	444.876522	49.303000
3.416957	445.594853	49.402000
3.415105	445.727992	49.502000
3.426408	444.848729	49.602000
3.424820	444.916792	49.702000
3.414016	445.794154	49.803000
3.418769	445.469656	49.902000
3.427150	444.798320	50.002000
3.419301	445.335037	50.102000
3.414348	445.684192	50.202000
3.423988	444.997738	50.302000
3.424742	444.941280	50.402000
3.414856	445.650054	50.502000
3.418250	445.443011	50.602000
3.426720	444.784073	50.702000
3.418960	445.349135	50.802000
3.413654	445.747424	50.902000
3.424201	444.905663	51.002000
3.425928	444.757738	51.102000
3.414051	445.718125	51.202000
3.415699	445.615031	51.302000
3.426079	444.816449	51.402000
3.421305	445.088154	51.502000
3.413500	445.672013	51.602000
3.421315	445.106872	51.702000
3.424836	444.853354	51.802000
3.414892	445.608341	51.902000
3.415849	445.516188	52.002000
3.425621	444.764437	52.102000
3.420337	445.159767	52.202000
3.412329	445.785666	52.302000
3.421299	445.100330	52.402000
3.426334	444.697220	52.502000
3.415183	445.564100	52.602000
3.413537	445.710604	52.702000
3.424756	444.864839	52.802000
3.422536	445.007510	52.902000
3.413521	445.657628	53.002000
3.419330	445.280341	53.102000
3.425021	444.857857	53.202000
3.416006	445.515139	53.302000
3.414386	445.617165	53.402000
3.424688	444.847871	53.503000
3.422271	445.016933	53.602000
3.412200	445.767967	53.702000
3.418247	445.321617	53.802000
3.426178	444.737268	53.903000
3.416700	445.421594	54.002000
3.412433	445.791925	54.102000
3.423145	444.988292	54.202000
3.423717	444.902188	54.302000
3.413583	445.646127	54.402000
3.417314	445.398734	54.503000
3.424671	444.834322	54.602000
3.417237	445.419826	54.702000
3.412961	445.706123	54.802000
3.423179	444.916136	54.902000
3.423728	444.851725	55.002000
3.412652	445.685285	55.102000
3.415649	445.497854	55.203000
3.425448	444.748530	55.302000
3.418838	445.212635	55.403000
3.411680	445.781724	55.502000
3.421208	445.055871	55.604000
3.424221	444.807405	55.702000
3.414418	445.529869	55.802000
3.415180	445.474949	55.902000
3.424396	444.805735	56.002000
3.419008	445.198117	56.102000
3.412287	445.708787	56.202000
3.421671	444.977958	56.302000
3.424777	444.741100	56.402000
3.413609	445.591064	56.502000
3.413729	445.602797	56.602000
3.425300	444.733944	56.702000
3.421064	445.007642	56.802000
3.411960	445.672863	56.902000
3.419389	445.148134	57.002000
3.424785	444.746038	57.102000
3.415783	445.386300	57.202000
3.413852	445.508910	57.302000
3.423657	444.805917	57.402000
3.420938	444.996825	57.502000
3.411934	445.650431	57.602000
3.419261	445.111005	57.702000
3.425267	444.612004	57.802000
3.414953	445.384187	57.902000
3.411927	445.647345	58.002000
3.423398	444.804716	58.102000
3.422959	444.780689	58.202000
3.412518	445.557724	58.303000
3.416406	445.309213	58.402000
3.424562	444.694144	58.502000
3.417202	445.211386	58.602000
3.412507	445.574243	58.702000
3.422171	444.857452	58.802000
3.422663	444.838621	58.902000
3.412565	445.583954	59.002000
3.416414	445.287881	59.103000
3.425269	444.607303	59.202000
3.417575	445.186643	59.302000
3.411075	445.713183	59.402000
3.421502	444.931221	59.502000
3.425039	444.610964	59.602000
3.413699	445.444904	59.703000
3.414221	445.420811	59.802000
3.424085	444.698193	59.902000
3.419306	445.044186	60.002000
3.412094	445.598746	60.102000
3.420698	444.959372	60.202000
3.423351	444.742812	60.302000
3.412901	445.510794	60.402000
3.413631	445.495421	60.502000
3.424244	444.659471	60.602000
3.419549	444.996745	60.702000
3.410392	445.694477	60.802000
3.418539	445.147902	60.902000
3.424655	444.644761	61.002000
3.414586	445.366299	61.102000
3.411856	445.566255	61.202000
